epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7469,1.75035,2.21994,1.46648,0.89717,0.45574,0.53947,0.30932,1.50402,1.3953,1.40643,0.000466993,0.000466993,0.000466993
2,26.6609,1.5737,1.14542,1.33751,0.46288,0.44787,0.4822,0.254,1.69118,1.29954,1.53412,0.000937101,0.000937101,0.000937101
3,39.4087,1.58243,1.13928,1.31047,0.75243,0.32975,0.33822,0.17562,1.67317,1.571,1.53127,0.00140092,0.00140092,0.00140092
4,52.291,1.56931,1.0671,1.31925,0.82856,0.41753,0.45712,0.25993,1.54879,1.18465,1.41141,0.00140071,0.00140071,0.00140071
5,65.0711,1.54211,1.06701,1.3301,0.85177,0.49182,0.53655,0.29959,1.63072,1.22192,1.43589,0.00139127,0.00139127,0.00139127
6,77.6989,1.50538,1.07079,1.29527,0.8976,0.51521,0.57826,0.33759,1.5158,1.00404,1.35693,0.00138184,0.00138184,0.00138184
7,90.2005,1.51721,1.03961,1.2809,0.90681,0.50275,0.56883,0.3403,1.49141,0.94858,1.35678,0.00137241,0.00137241,0.00137241
8,103.344,1.47866,0.98223,1.26736,0.92945,0.50563,0.56881,0.32034,1.507,1.08779,1.36329,0.00136298,0.00136298,0.00136298
9,117.418,1.48456,0.97017,1.26399,0.90711,0.48235,0.54689,0.33637,1.46166,1.05187,1.3458,0.00135355,0.00135355,0.00135355
10,131.191,1.46894,0.94034,1.25721,0.90517,0.48876,0.5477,0.3204,1.59766,1.115,1.43865,0.00134412,0.00134412,0.00134412
11,145.528,1.46655,0.95591,1.27191,0.89016,0.49702,0.5391,0.30426,1.54338,1.02545,1.35602,0.00133469,0.00133469,0.00133469
12,159.945,1.44624,0.92107,1.27357,0.93099,0.51844,0.58871,0.36332,1.415,0.83042,1.31211,0.00132525,0.00132525,0.00132525
13,174.3,1.42848,0.85653,1.24497,0.91962,0.51817,0.57859,0.32266,1.62415,0.90316,1.41263,0.00131582,0.00131582,0.00131582
14,188.267,1.45534,0.8863,1.25466,0.94023,0.52701,0.58609,0.36016,1.43623,0.84098,1.3459,0.00130639,0.00130639,0.00130639
15,201.93,1.44871,0.90901,1.25555,0.92233,0.54125,0.5862,0.37134,1.40222,0.79941,1.31817,0.00129696,0.00129696,0.00129696
16,215.231,1.40759,0.8701,1.23392,0.95274,0.49901,0.57305,0.34489,1.4536,0.86257,1.33443,0.00128753,0.00128753,0.00128753
17,228.627,1.43263,0.89935,1.22836,0.9359,0.53263,0.58823,0.34883,1.4866,0.84299,1.36105,0.0012781,0.0012781,0.0012781
18,242.069,1.39999,0.83868,1.22277,0.93323,0.54335,0.60135,0.36614,1.43921,0.79698,1.32306,0.00126867,0.00126867,0.00126867
19,255.547,1.38264,0.82117,1.21343,0.91744,0.5577,0.60573,0.37012,1.45143,0.80024,1.32842,0.00125923,0.00125923,0.00125923
20,268.991,1.39865,0.81572,1.21621,0.95108,0.54306,0.60361,0.3737,1.40196,0.77645,1.28659,0.0012498,0.0012498,0.0012498
21,282.461,1.38105,0.83843,1.22523,0.93826,0.53566,0.58995,0.35098,1.50908,0.84147,1.36607,0.00124037,0.00124037,0.00124037
22,295.827,1.35219,0.79421,1.20183,0.95793,0.53561,0.59435,0.36538,1.44751,0.78052,1.30549,0.00123094,0.00123094,0.00123094
23,309.175,1.35517,0.77893,1.21228,0.93184,0.54249,0.5957,0.36124,1.46265,0.80219,1.32096,0.00122151,0.00122151,0.00122151
24,322.587,1.36724,0.80278,1.20129,0.91939,0.55924,0.60367,0.37303,1.43622,0.74713,1.31325,0.00121208,0.00121208,0.00121208
25,335.891,1.33478,0.76291,1.19097,0.94356,0.55403,0.60572,0.36998,1.42627,0.78376,1.31353,0.00120265,0.00120265,0.00120265
26,349.715,1.3401,0.80322,1.18465,0.94618,0.52916,0.60286,0.36995,1.439,0.76693,1.31473,0.00119322,0.00119322,0.00119322
27,363.248,1.31071,0.74207,1.17678,0.94376,0.55947,0.61095,0.37601,1.40682,0.74773,1.3027,0.00118378,0.00118378,0.00118378
28,377.299,1.33329,0.80512,1.19506,0.92753,0.56253,0.59465,0.36939,1.45182,0.78585,1.32511,0.00117435,0.00117435,0.00117435
29,392.254,1.30415,0.75602,1.19063,0.58707,0.56557,0.59507,0.36962,1.42014,0.80816,1.31853,0.00116492,0.00116492,0.00116492
30,407.874,1.30882,0.76187,1.17359,0.94063,0.56139,0.60596,0.38665,1.34129,0.74173,1.26863,0.00115549,0.00115549,0.00115549
31,423.687,1.29615,0.70416,1.16436,0.9369,0.54348,0.60154,0.36834,1.40849,0.73187,1.30501,0.00114606,0.00114606,0.00114606
32,439.067,1.31146,0.73882,1.17694,0.59638,0.5448,0.59575,0.35102,1.48868,0.77247,1.34513,0.00113663,0.00113663,0.00113663
33,454.413,1.2941,0.73746,1.19949,0.73575,0.62932,0.6244,0.38478,1.41497,0.73556,1.3032,0.0011272,0.0011272,0.0011272
34,469.538,1.28199,0.71193,1.15633,0.96381,0.53923,0.59546,0.36037,1.44214,0.77991,1.32295,0.00111776,0.00111776,0.00111776
35,484.391,1.28482,0.73673,1.16497,0.91505,0.56737,0.59949,0.35841,1.46145,0.75082,1.34285,0.00110833,0.00110833,0.00110833
36,497.909,1.2735,0.72885,1.16239,0.66666,0.60442,0.63121,0.38116,1.45191,0.77496,1.31447,0.0010989,0.0010989,0.0010989
37,511.331,1.27792,0.72082,1.16392,0.93603,0.55038,0.59892,0.36893,1.40701,0.76432,1.28934,0.00108947,0.00108947,0.00108947
38,524.985,1.26661,0.75074,1.12515,0.95931,0.56078,0.60394,0.36669,1.44814,0.72727,1.29835,0.00108004,0.00108004,0.00108004
39,538.573,1.25472,0.69619,1.1525,0.94332,0.56792,0.60945,0.38427,1.34189,0.71288,1.25198,0.00107061,0.00107061,0.00107061
40,553.051,1.26126,0.72142,1.15147,0.94606,0.57174,0.61107,0.38284,1.39064,0.70619,1.28561,0.00106118,0.00106118,0.00106118
41,567.687,1.26028,0.6858,1.1481,0.95227,0.55924,0.61016,0.37839,1.3816,0.73248,1.27836,0.00105174,0.00105174,0.00105174
42,582.259,1.2194,0.67227,1.13835,0.96117,0.56733,0.61167,0.38005,1.40862,0.69187,1.28313,0.00104231,0.00104231,0.00104231
43,597.71,1.24743,0.69724,1.1433,0.92181,0.5764,0.61039,0.36593,1.45477,0.73626,1.3177,0.00103288,0.00103288,0.00103288
44,618.794,1.2334,0.66951,1.127,0.61035,0.55361,0.60395,0.36428,1.4567,0.74323,1.33827,0.00102345,0.00102345,0.00102345
45,636.282,1.24564,0.6728,1.13152,0.69817,0.58418,0.61514,0.38863,1.36291,0.73468,1.27255,0.00101402,0.00101402,0.00101402
46,651.91,1.22391,0.65982,1.1143,0.93498,0.57246,0.60992,0.38149,1.37219,0.70667,1.27413,0.00100459,0.00100459,0.00100459
47,665.282,1.23133,0.68098,1.13291,0.6052,0.55572,0.60059,0.36455,1.4401,0.70946,1.33255,0.000995156,0.000995156,0.000995156
48,679.535,1.245,0.66959,1.14822,0.61457,0.55544,0.60566,0.36476,1.44209,0.72423,1.30709,0.000985724,0.000985724,0.000985724
49,693.534,1.19516,0.64475,1.12281,0.9458,0.55101,0.60363,0.37382,1.4337,0.70274,1.30889,0.000976293,0.000976293,0.000976293
50,706.849,1.19472,0.64601,1.10516,0.59897,0.5655,0.6012,0.37609,1.41534,0.71516,1.31185,0.000966861,0.000966861,0.000966861
51,720.322,1.18006,0.6335,1.11319,0.7797,0.57911,0.62827,0.39223,1.41315,0.67936,1.30315,0.00095743,0.00095743,0.00095743
52,733.865,1.19044,0.65319,1.12137,0.92805,0.57484,0.61078,0.38043,1.42539,0.69969,1.31484,0.000947999,0.000947999,0.000947999
53,747.188,1.19066,0.63911,1.1117,0.71634,0.57395,0.60989,0.35901,1.46382,0.74344,1.32301,0.000938567,0.000938567,0.000938567
54,761.188,1.19247,0.63755,1.11181,0.6189,0.55955,0.60562,0.37168,1.42552,0.70952,1.3022,0.000929136,0.000929136,0.000929136
55,776.134,1.15727,0.60793,1.0871,0.60643,0.6228,0.61436,0.38958,1.35317,0.67577,1.25983,0.000919704,0.000919704,0.000919704
56,790.629,1.16982,0.60557,1.10371,0.94258,0.57918,0.61188,0.37489,1.4265,0.70185,1.30247,0.000910273,0.000910273,0.000910273
57,807.126,1.19459,0.6448,1.1195,0.59668,0.56668,0.59678,0.36922,1.42778,0.71992,1.30498,0.000900842,0.000900842,0.000900842
58,822.01,1.13872,0.61362,1.08464,0.6185,0.56007,0.60114,0.35681,1.48111,0.73123,1.3317,0.00089141,0.00089141,0.00089141
59,836.474,1.12897,0.62117,1.06653,0.9438,0.56823,0.6068,0.3721,1.39795,0.68983,1.28726,0.000881979,0.000881979,0.000881979
60,854.795,1.17031,0.61786,1.09165,0.66888,0.60062,0.61184,0.39664,1.35741,0.68086,1.28231,0.000872547,0.000872547,0.000872547
61,873.048,1.16478,0.60332,1.08654,0.66111,0.62833,0.62348,0.39131,1.38369,0.67761,1.29557,0.000863116,0.000863116,0.000863116
62,887.615,1.14671,0.58981,1.09017,0.61019,0.62785,0.61117,0.37699,1.39939,0.70003,1.29977,0.000853685,0.000853685,0.000853685
63,901.044,1.13583,0.61588,1.08452,0.79183,0.6508,0.67093,0.39274,1.45288,0.70094,1.31694,0.000844253,0.000844253,0.000844253
64,914.361,1.15547,0.60347,1.08506,0.80804,0.59341,0.63968,0.39478,1.42938,0.71697,1.31753,0.000834822,0.000834822,0.000834822
65,927.503,1.107,0.60569,1.06183,0.6008,0.63266,0.6226,0.38717,1.39167,0.67644,1.29132,0.00082539,0.00082539,0.00082539
66,940.878,1.1233,0.57703,1.0755,0.72376,0.66405,0.66683,0.40156,1.38547,0.67261,1.28041,0.000815959,0.000815959,0.000815959
67,954.452,1.14347,0.59039,1.08271,0.66321,0.60502,0.64725,0.39185,1.40147,0.6796,1.30963,0.000806528,0.000806528,0.000806528
68,967.751,1.15438,0.67317,1.12173,0.658,0.60055,0.61178,0.38361,1.41208,0.67791,1.31064,0.000797096,0.000797096,0.000797096
69,981.137,1.13278,0.59771,1.0782,0.95373,0.57679,0.61534,0.38341,1.3961,0.66814,1.29397,0.000787665,0.000787665,0.000787665
70,994.779,1.08584,0.57597,1.0674,0.96551,0.56397,0.63159,0.38236,1.45326,0.69306,1.32093,0.000778233,0.000778233,0.000778233
71,1008.12,1.10509,0.56383,1.06718,0.9558,0.56288,0.62296,0.37473,1.42804,0.67409,1.31007,0.000768802,0.000768802,0.000768802
72,1021.69,1.06745,0.57228,1.04484,0.60919,0.62087,0.6134,0.38702,1.39123,0.67241,1.30006,0.000759371,0.000759371,0.000759371
73,1035.39,1.11738,0.56405,1.05978,0.94941,0.55704,0.60283,0.38158,1.37606,0.67468,1.28853,0.000749939,0.000749939,0.000749939
74,1049.37,1.07742,0.54726,1.05609,0.7863,0.58808,0.62016,0.39367,1.38301,0.67082,1.29213,0.000740508,0.000740508,0.000740508
75,1063.01,1.07691,0.56294,1.06748,0.69136,0.60657,0.61907,0.38707,1.4039,0.64674,1.30778,0.000731076,0.000731076,0.000731076
76,1076.77,1.07099,0.58938,1.04575,0.59367,0.66459,0.618,0.38653,1.41951,0.68168,1.30581,0.000721645,0.000721645,0.000721645
77,1090.36,1.05257,0.54834,1.05007,0.76206,0.6151,0.63003,0.39277,1.42846,0.66666,1.31431,0.000712214,0.000712214,0.000712214
78,1103.95,1.05619,0.54472,1.03507,0.58332,0.62825,0.61527,0.38504,1.40857,0.68575,1.30299,0.000702782,0.000702782,0.000702782
79,1117.65,1.06701,0.54552,1.04038,0.74623,0.606,0.62621,0.37794,1.42324,0.6747,1.3234,0.000693351,0.000693351,0.000693351
80,1131.36,1.0399,0.54934,1.04687,0.79271,0.58804,0.64255,0.38488,1.41019,0.66736,1.31174,0.000683919,0.000683919,0.000683919
81,1145.71,1.06331,0.54605,1.0418,0.75587,0.59837,0.64932,0.3925,1.395,0.66825,1.3004,0.000674488,0.000674488,0.000674488
82,1160.17,1.04862,0.53778,1.03515,0.63573,0.6558,0.6305,0.37832,1.40788,0.67656,1.29366,0.000665057,0.000665057,0.000665057
83,1174.22,1.01006,0.51505,1.01971,0.6821,0.60835,0.6232,0.38228,1.43721,0.6855,1.32889,0.000655625,0.000655625,0.000655625
84,1188.26,1.04232,0.53157,1.04475,0.89026,0.59228,0.63489,0.39995,1.39827,0.68544,1.29627,0.000646194,0.000646194,0.000646194
85,1202.52,0.9993,0.52885,1.03108,0.62604,0.66395,0.63574,0.38233,1.4211,0.67135,1.32485,0.000636762,0.000636762,0.000636762
